BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,
trafico.nlogo,,,,,,,
experiment,,,,,,,
11/04/2024 21:50:26:740 -0600,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-3,3,,,,
[run number],velocidad_inicial,numero_de_carros,aceleracion,posicion_inicial,desaceleracion,[step],cuenta_global
101,homogenea,11,0.0045,homogenea,0.026,100000,215.63
103,homogenea,11,0.0045,homogenea,0.026,100000,215.63
102,homogenea,11,0.0045,homogenea,0.026,100000,215.63
104,homogenea,11,0.0045,homogenea,0.026,100000,215.63
105,homogenea,11,0.0045,homogenea,0.026,100000,215.63
106,homogenea,11,0.0045,homogenea,0.026,100000,215.63
107,homogenea,11,0.0045,homogenea,0.026,100000,215.63
108,homogenea,11,0.0045,homogenea,0.026,100000,215.63
109,homogenea,11,0.0045,homogenea,0.026,100000,215.63
111,homogenea,12,0.0045,homogenea,0.026,100000,235.23
110,homogenea,11,0.0045,homogenea,0.026,100000,215.63
112,homogenea,12,0.0045,homogenea,0.026,100000,235.23
113,homogenea,12,0.0045,homogenea,0.026,100000,235.23
114,homogenea,12,0.0045,homogenea,0.026,100000,235.23
115,homogenea,12,0.0045,homogenea,0.026,100000,235.23
116,homogenea,12,0.0045,homogenea,0.026,100000,235.23
117,homogenea,12,0.0045,homogenea,0.026,100000,235.23
118,homogenea,12,0.0045,homogenea,0.026,100000,235.23
119,homogenea,12,0.0045,homogenea,0.026,100000,235.23
120,homogenea,12,0.0045,homogenea,0.026,100000,235.23
122,homogenea,13,0.0045,homogenea,0.026,100000,254.84
121,homogenea,13,0.0045,homogenea,0.026,100000,254.84
124,homogenea,13,0.0045,homogenea,0.026,100000,254.84
123,homogenea,13,0.0045,homogenea,0.026,100000,254.84
126,homogenea,13,0.0045,homogenea,0.026,100000,254.84
125,homogenea,13,0.0045,homogenea,0.026,100000,254.84
127,homogenea,13,0.0045,homogenea,0.026,100000,254.84
129,homogenea,13,0.0045,homogenea,0.026,100000,254.84
128,homogenea,13,0.0045,homogenea,0.026,100000,254.84
130,homogenea,13,0.0045,homogenea,0.026,100000,254.84
132,homogenea,14,0.0045,homogenea,0.026,100000,274.44
131,homogenea,14,0.0045,homogenea,0.026,100000,274.44
135,homogenea,14,0.0045,homogenea,0.026,100000,274.44
